checkin_id,checkin_date,rating,comment,user_location,beer_name,beer_style,beer_abv,brewery_name,brewery_country,venue_name
1246439426,2023-02-10,3.0,"","Oslo, Norway",Keturi Vėjai (Four Winds),Kölsch,4.9,Brick by Brick (Raudonų Plytų Alaus Dirbtuvės),Lithuania,Comfort Hotel LT
1247247674,2023-02-11,3.8,"","",Oak Aged Vintage 2019 ,Cider - Dry,5.6,Mūrbūdu Sidra Darītava,Latvia,Žmogšala 10 (2023)
1246948151,2023-02-11,4.8,"","",Vanila Kunis,Stout - Imperial / Double,11.1,Anderson's Craft Beer,Estonia,Žmogšala 10 (2023)
1246957078,2023-02-11,4.5,"","",NeVĪNS,Sour - Smoothie / Pastry,7.0,TEIKA,Latvia,Žmogšala 10 (2023)
1250883033,2023-02-25,4.8,"",Vilnius,Vintage 2022 Belgian Style Tripel,Belgian Tripel,8.8,Švyturys,Lithuania,Energetikos ir technikos muziejus | Energy and Technology Museum
1246962434,2023-02-11,3.5,"",Kaunas,SOURBIT / BLACK CURRANT & CACAO NIBS,Sour - Fruited,7.0,Hopalaa,Latvia,Žmogšala 10 (2023)
1246945473,2023-02-11,4.8,"",Minsk,Penumbra Laphroaig BA (2017),Stout - Imperial / Double,12.2,Käbliku Pruulikoda,Estonia,Žmogšala 10 (2023)
1244909475,2023-02-04,3.8,"",Minsk,Coconut Milk Stout,Stout - Milk / Sweet,4.7,Sakiškės Brewery / Sakiškių Alus,Lithuania,ČIOP ČIOP Event Studio
1246987857,2023-02-11,4.0,"","",Fog Winter,IPA - New England / Hazy,5.2,Green Monster Brewery,Lithuania,Žmogšala 10 (2023)
1246949712,2023-02-11,3.0,"","",Coconut Brownie Special American Ale,Other,5.4,Bear and Boar,Lithuania,Žmogšala 10 (2023)
1244341079,2023-02-01,3.5,"","",Lithuanian Cold IPA,IPA - Cold,5.0,Genys Brewing Co.,Lithuania,Dyvai Baras
1250585990,2023-02-24,3.8,"","","Vandaag Is Rood, De Kleur Van Mijn Farmhouse IPA",IPA - Farmhouse,6.0,Dok Brewing Company,Belgium,Local Pub
1251503066,2023-02-26,3.5,"","",Medaus Mėnuo (Honeymoon),Lager - Pale,4.9,Craft & Draft Brewpub & Whiskey,Lithuania,Craft & Draft
1246536822,2023-02-10,3.5,Новы для мяне стыль. Пакуль нешта канкрэтнае сказаць цяжка),"",Italian Pilsner,Pilsner - Italian,4.7,Sakiškės Brewery / Sakiškių Alus,Lithuania,Ciao Italia
1246942055,2023-02-11,3.8,"","",Margarita Gose,Sour - Traditional Gose,4.3,Sakiškės Brewery / Sakiškių Alus,Lithuania,Žmogšala 10 (2023)
1246957846,2023-02-11,2.3,"","",Catch Up!,Sour - Fruited Gose,4.1,Anderson's Craft Beer,Estonia,Žmogšala 10 (2023)
1246962774,2023-02-11,3.8,"","",Purva Medus (Bog Honey),Mead - Braggot,6.5,Labietis,Latvia,Žmogšala 10 (2023)
1246991725,2023-02-11,4.0,"","",Fog Winter,IPA - New England / Hazy,5.2,Green Monster Brewery,Lithuania,Žmogšala 10 (2023)
1246083428,2023-02-07,3.0,"",Miensk,Bistrampolio Dvaro Šviesusis/ Bistrampolio Dvaro Light,Lager - Pale,5.0,Aukštaitijos Bravorai,Lithuania,Etno Dvaras
1248144996,2023-02-15,3.8,"","",Humulupu IPA,IPA - Session,5.0,Panevėžio Alus,Lithuania,Slojikai
1247035255,2023-02-11,3.5,"","",Beet Child O' Mine,IPA - Milkshake,6.9,Anderson's Craft Beer,Estonia,Žmogšala 10 (2023)
